,CLASS,PACKAGE,KILLED,,MEMORY_ERROR,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score
139,Cluster,org.apache.commons.math3.stat.clustering,2,0,0,0,0,2,100
140,ClusterEvaluator,org.apache.commons.math3.ml.clustering.evaluation,13,0,1,2,0,16,81.25
141,Clusterer,org.apache.commons.math3.ml.clustering,2,0,0,0,0,2,100
142,Combinations,org.apache.commons.math3.util,63,0,0,4,0,67,94.02985075
143,CombinatoricsUtils,org.apache.commons.math3.util,132,0,3,35,4,174,78.16091954
144,Complex,org.apache.commons.math3.complex,278,0,8,20,1,307,90.87947883
145,ComplexField,org.apache.commons.math3.complex,4,0,1,0,0,5,80
146,ComplexFormat,org.apache.commons.math3.complex,31,0,14,6,0,51,60.78431373
147,ComplexUtils,org.apache.commons.math3.complex,8,0,0,0,0,8,100
148,CompositeFormat,org.apache.commons.math3.util,35,0,0,5,0,40,87.5
149,ConfidenceInterval,org.apache.commons.math3.stat.interval,5,0,1,5,0,11,45.45454545
150,ConjugateGradient,org.apache.commons.math3.linear,19,0,3,11,1,34,58.82352941
151,Constant,org.apache.commons.math3.analysis.function,2,0,1,0,0,3,66.66666667
152,ConstantRealDistribution,org.apache.commons.math3.distribution,15,0,1,2,0,18,83.33333333
153,ContinuedFraction,org.apache.commons.math3.util,15,0,2,3,4,24,79.16666667
154,ContinuousOutputFieldModel,org.apache.commons.math3.ode,40,0,1,28,4,73,60.2739726
155,ContinuousOutputModel,org.apache.commons.math3.ode,44,0,2,58,4,108,44.44444444
156,ConvergenceException,org.apache.commons.math3.exception,0,0,0,1,0,1,0
157,ConvexHull2D,org.apache.commons.math3.geometry.euclidean.twod.hull,32,0,0,1,0,33,96.96969697
158,CorrelatedRandomVectorGenerator,org.apache.commons.math3.random,12,0,4,1,0,17,70.58823529
159,Cos,org.apache.commons.math3.analysis.function,2,0,1,0,0,3,66.66666667
160,Cosh,org.apache.commons.math3.analysis.function,1,0,1,1,0,3,33.33333333
161,Covariance,org.apache.commons.math3.stat.correlation,35,0,1,3,0,39,89.74358974
162,CurveFitter,org.apache.commons.math3.fitting,12,0,0,0,0,12,100
163,CurveFitter,org.apache.commons.math3.optimization.fitting,11,0,9,0,0,20,55
164,CycleCrossover,org.apache.commons.math3.genetics,11,1,1,2,7,22,86.36363636
165,DBSCANClusterer,org.apache.commons.math3.ml.clustering,23,0,0,3,0,26,88.46153846
166,DBSCANClusterer,org.apache.commons.math3.stat.clustering,23,0,0,3,0,26,88.46153846
167,DSCompiler,org.apache.commons.math3.analysis.differentiation,683,0,0,29,0,712,95.92696629
168,Decimal64,org.apache.commons.math3.util,89,0,9,1,0,99,89.8989899
169,Decimal64Field,org.apache.commons.math3.util,4,0,0,0,0,4,100
170,DefaultFieldMatrixChangingVisitor,org.apache.commons.math3.linear,0,0,1,1,0,2,0
171,DefaultFieldMatrixPreservingVisitor,org.apache.commons.math3.linear,0,0,0,1,0,1,0
172,DefaultIterativeLinearSolverEvent,org.apache.commons.math3.linear,5,0,3,0,0,8,62.5
173,DefaultMeasurementModel,org.apache.commons.math3.filter,2,0,0,0,0,2,100
174,DefaultProcessModel,org.apache.commons.math3.filter,5,0,0,0,0,5,100
175,DefaultRealMatrixChangingVisitor,org.apache.commons.math3.linear,0,0,1,1,0,2,0
176,DefaultRealMatrixPreservingVisitor,org.apache.commons.math3.linear,0,0,0,1,0,1,0
177,DefaultTransformer,org.apache.commons.math3.util,6,0,1,1,0,8,75
178,DenseWeightedEvaluation,org.apache.commons.math3.fitting.leastsquares,3,0,0,0,0,3,100
179,DerivativeStructure,org.apache.commons.math3.analysis.differentiation,184,0,0,30,0,214,85.98130841
180,DescriptiveStatistics,org.apache.commons.math3.stat.descriptive,55,0,1,8,0,64,85.9375
181,Dfp,org.apache.commons.math3.dfp,1077,0,48,29,7,1161,93.36778639
182,DfpDec,org.apache.commons.math3.dfp,112,0,13,10,1,136,83.08823529
183,DfpField,org.apache.commons.math3.dfp,49,0,10,28,2,89,57.30337079
184,DfpMath,org.apache.commons.math3.dfp,144,0,36,15,7,202,74.75247525
185,DiagonalMatrix,org.apache.commons.math3.linear,62,0,0,8,0,70,88.57142857
186,DimensionMismatchException,org.apache.commons.math3.exception,1,0,0,0,0,1,100
187,DiskGenerator,org.apache.commons.math3.geometry.euclidean.twod,12,0,0,0,0,12,100
188,Divide,org.apache.commons.math3.analysis.function,2,0,0,0,0,2,100
